wienerW1,wienerW2,apodizationRadius,hifiDenominatorScaleW1,hifiDenominatorScaleW2,score,expandedToCenterRms,sidebandMeanToCenterRms,sidebandMinToCenterRms,sidebandBalance,totalEnergyRatioToInput,p99GainRatioToInput
0.15,0.06,0.75,1.2,0.8,1.08251260294646,0.211342897645248,0.235499683076723,0.230693738035243,0.979592562594175,0.28854225250416,0.28071991360943
0.15,0.06,0.75,1,1.2,1.08227771501287,0.212060042500767,0.236148137077496,0.231311370805093,0.97951808414726,0.184086073281918,0.223558056735765
0.15,0.04,0.75,0.8,1.2,1.08123772872986,0.218124110235373,0.242460184589769,0.237428878378177,0.9792489384593,0.286510756062073,0.282782995760381
0.15,0.04,0.75,0.8,1,1.0810455355735,0.210758314907785,0.234383841273695,0.22953687783918,0.979320402771046,0.411407180285095,0.329611945299746
0.15,0.06,1,1,0.8,1.080469891157,0.218524140392599,0.242696884567123,0.237587586520243,0.97894782186433,0.414649722196964,0.347102562728209
0.2,0.03,0.75,1.2,1.2,1.07995526164006,0.212060916010711,0.235340853269439,0.230386718935059,0.978949110341213,0.126211409869693,0.182577367625507
0.15,0.06,1,0.8,1.2,1.07990999549744,0.21191697028636,0.235200898505184,0.230229725813555,0.978864142427928,0.285537510841583,0.278635921779139
0.15,0.06,0.75,1.2,1,1.07985464548137,0.225714630058625,0.251433277158586,0.246298543993907,0.9795781480371,0.185820435931349,0.237782049819896
0.2,0.04,1,1.2,1,1.07942967440781,0.216348096225245,0.239806691157482,0.234696357489544,0.978689778657667,0.181975432202404,0.224048125190471
0.15,0.06,1.25,0.8,1,1.07940183410443,0.216011500311433,0.239443723286219,0.234318785137417,0.978596481551218,0.411601864733997,0.341088958810798
0.15,0.1,1.5,1.2,1.2,1.07922904046869,0.217730056504478,0.241366442270414,0.236177522918321,0.978501902322114,0.12804760144022,0.194209280326319
0.15,0.1,1.25,1.2,1.2,1.07906960137179,0.210220539065976,0.233228363923267,0.228249427363308,0.978652096699538,0.127681544857213,0.18827112256344
0.2,0.06,1.75,1.2,1.2,1.07816571822153,0.21403245742451,0.23684296709438,0.231700050379868,0.978285541776455,0.126145392565248,0.186737534423467
0.2,0.03,0.75,1.2,1,1.07806257462242,0.206420778702592,0.229209148757775,0.224406955090718,0.979048856936632,0.18137361460781,0.21403206167395
0.2,0.03,1,1,1.2,1.0780195491869,0.214445871830396,0.237211963562128,0.232071697637509,0.978330494603097,0.180299295998003,0.219696010698551
